B01001,Sex by Age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,United States,,California,,"Alameda County, CA",,"Alpine County, CA",,"Amador County, CA",,"Butte County, CA",,"Calaveras County, CA",,"Colusa County, CA",,"Contra Costa County, CA",,"Del Norte County, CA",,"El Dorado County, CA",,"Fresno County, CA",,"Glenn County, CA",,"Humboldt County, CA",,"Imperial County, CA",,"Inyo County, CA",,"Kern County, CA",,"Kings County, CA",,"Lake County, CA",,"Lassen County, CA",,"Los Angeles County, CA",,"Madera County, CA",,"Marin County, CA",,"Mariposa County, CA",,"Mendocino County, CA",,"Merced County, CA",,"Modoc County, CA",,"Mono County, CA",,"Monterey County, CA",,"Napa County, CA",,"Nevada County, CA",,"Orange County, CA",,"Placer County, CA",,"Plumas County, CA",,"Riverside County, CA",,"Sacramento County, CA",,"San Benito County, CA",,"San Bernardino County, CA",,"San Diego County, CA",,"San Francisco County, CA",,"San Joaquin County, CA",,"San Luis Obispo County, CA",,"San Mateo County, CA",,"Santa Barbara County, CA",,"Santa Clara County, CA",,"Santa Cruz County, CA",,"Shasta County, CA",,"Sierra County, CA",,"Siskiyou County, CA",,"Solano County, CA",,"Sonoma County, CA",,"Stanislaus County, CA",,"Sutter County, CA",,"Tehama County, CA",,"Trinity County, CA",,"Tulare County, CA",,"Tuolumne County, CA",,"Ventura County, CA",,"Yolo County, CA",,"Yuba County, CA",
,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error
Total:,324697795,0,39283497,0,1656754,0,1039,161,38429,0,225817,0,45514,0,21454,0,1142251,0,27495,0,188563,0,984521,0,27976,0,135940,0,180701,0,17977,0,887641,0,150691,0,64195,0,30818,0,10081570,0,155433,0,259943,0,17420,0,87224,0,271382,0,8907,0,14310,0,433410,0,139623,0,99244,0,3168044,0,385512,0,18660,0,2411439,0,1524553,0,60376,0,2149031,0,3316073,0,874961,0,742603,0,282165,0,767423,0,444829,0,1927470,0,273962,0,179212,0,3040,161,43468,0,441829,0,499772,0,543194,0,96109,0,63912,0,12700,0,461898,0,54045,0,847263,0,217352,0,76360,0
Male:,159886919,5817,19526298,1141,814515,36,554,95,20640,136,111735,86,22663,295,10994,120,558502,143,14745,178,93922,152,491146,86,14218,119,67576,212,92752,146,9062,121,454843,149,82995,130,31865,130,20332,216,4969382,0,74972,135,126956,129,8872,186,43242,178,136987,167,4626,191,7634,311,221001,106,69603,96,48947,170,1563832,0,188162,122,9282,132,1200960,89,744997,0,30151,113,1069766,234,1669515,0,446286,173,370152,107,143006,198,379328,107,222659,189,974422,201,135634,162,88047,143,1625,115,21708,83,219818,78,244045,195,268871,116,47866,76,31773,120,6535,100,230966,98,28112,151,419111,113,105438,189,38950,164
Under 5 years,10112614,3826,1254607,535,49611,0,22,14,796,57,6395,23,920,115,742,76,33495,127,884,106,4431,51,39692,53,1159,143,3684,77,7652,103,513,55,35815,44,5955,31,1857,85,796,100,313551,0,5912,88,5999,73,412,52,2588,56,10980,99,212,35,253,149,16080,60,3680,51,2214,134,96241,0,10507,30,420,51,80545,0,50401,0,1914,34,78467,103,107496,0,20174,53,26799,88,6678,94,22587,42,14496,48,59811,151,7203,78,5423,99,100,31,1167,65,13822,82,12771,50,19998,107,3372,67,1938,43,334,71,19369,33,1219,63,25795,71,6163,125,3097,98
5 to 9 years,10276829,16598,1257974,6123,49375,1054,21,16,730,129,6941,373,1253,252,919,131,36175,989,787,146,5264,406,39372,1084,995,197,3631,334,6961,580,484,89,35873,1281,5478,413,1863,263,534,94,305531,2789,6023,449,7011,456,452,118,2596,260,11871,556,283,62,472,152,16388,626,3954,264,2699,273,95037,1503,12556,577,411,118,85529,1481,51384,1287,1876,274,80167,1610,98573,1899,15900,546,29303,1008,7237,510,23697,825,14196,750,60829,1130,7407,521,5689,347,73,27,1372,181,13740,544,14417,676,19923,821,3668,290,2209,236,278,80,21062,699,1451,209,26436,866,6495,463,3123,312
10 to 14 years,10708022,16572,1318355,6152,48777,1054,53,25,849,131,5985,381,977,263,817,130,39793,989,978,169,5988,452,41586,1087,1154,189,3777,321,7556,583,553,90,38267,1285,6190,412,1848,271,718,100,320357,2789,6259,440,8676,457,349,93,2738,260,11486,556,254,64,456,141,16623,633,4668,264,2297,259,105267,1502,12846,585,430,115,92316,1481,52729,1286,2582,283,83557,1596,103482,1899,15345,562,30040,1006,7355,521,21847,829,13614,751,62964,1143,7767,538,5206,342,64,27,1266,166,14671,544,14430,678,22568,822,3725,300,2351,229,305,76,20810,704,1146,187,29918,868,6586,449,3139,321
15 to 17 years,6429069,3398,779960,618,28149,36,9,11,570,67,4080,64,825,92,521,35,23934,68,409,21,3773,80,22653,34,660,57,2107,64,4327,83,335,61,21196,89,3247,109,1142,73,432,29,193723,0,3533,60,4974,131,233,22,1586,39,6891,46,191,70,360,144,9083,63,2800,90,1606,124,63648,0,8122,49,261,44,54914,88,30639,0,1469,52,50052,104,60115,0,8578,86,17865,53,4331,118,13661,94,8130,54,35944,86,4723,85,3500,89,27,24,776,49,8378,58,8967,144,12746,54,2185,38,1241,59,239,70,11971,82,749,68,17629,59,4059,97,1692,128
18 and 19 years,4411135,5291,529837,837,19354,0,13,20,448,103,3864,115,461,111,263,38,13715,113,225,99,2089,110,13929,38,391,127,2327,164,2701,101,270,100,12987,94,2181,111,692,151,399,64,132445,0,2225,105,2679,126,134,23,930,28,5163,138,102,90,16,17,6355,89,1711,24,992,170,41352,0,4535,129,260,75,35188,63,17990,0,831,15,31692,89,48460,0,6298,67,10973,99,6934,281,7597,132,10282,248,22629,93,6461,198,1993,87,32,42,480,32,5294,65,6064,157,7503,51,1234,63,669,28,165,73,7066,88,598,124,11334,38,5914,150,948,64
20 years,2352092,13695,295438,4457,10221,694,0,12,247,120,2876,484,152,115,177,100,6830,602,191,108,1220,270,7845,640,239,120,1210,356,1176,245,66,43,7757,684,1367,288,271,125,418,99,73576,1774,1206,282,1148,258,68,44,551,182,2582,436,5,8,407,204,3974,421,1028,195,273,135,22819,1008,2184,298,61,55,18969,893,9706,658,607,152,17093,921,29802,1289,3350,458,5671,512,4252,744,4185,543,5712,679,12056,834,3640,523,925,191,0,12,390,94,3171,430,3275,429,4239,458,419,134,604,210,73,62,3721,504,342,125,6440,567,4062,762,589,189
21 years,2303286,14015,285103,3566,10048,725,7,11,183,111,2938,466,272,157,275,90,6453,536,86,46,1101,255,7613,679,175,95,979,246,2195,392,65,55,7173,622,1770,330,420,191,337,95,71788,1535,1292,277,773,233,71,57,421,133,2283,453,24,24,197,152,3040,378,923,206,348,208,22174,936,2232,305,106,70,16523,985,9589,701,426,106,17132,918,29878,1376,3777,380,6062,482,4373,835,3720,548,5614,614,11992,872,3132,477,1157,279,0,12,190,68,2742,336,2753,380,4071,508,774,204,402,145,40,55,3489,501,219,88,5858,626,2976,557,452,147
